City,Date,Time,Temperature (°C),Weather,Humidity (%),Pressure (hPa),Wind Speed (m/s),Cloudiness (%)
Muscat,2025-05-27,22:28:16,32.14,scattered clouds,45,1000,1.17,32
Paris,2025-05-27,22:30:37,19.08,broken clouds,72,1019,6.17,75
Tokyo,2025-05-27,22:36:11,16.81,moderate rain,85,1020,5.66,75
Dubai,2025-05-27,22:36:25,33.96,clear sky,40,1001,1.54,0
Los Angeles,2025-05-27,22:38:02,21.63,scattered clouds,64,1014,2.57,40
Riyadh,2025-05-27,22:38:09,34.46,clear sky,8,1004,3.75,0
London,2025-05-27,22:40:09,15.84,overcast clouds,87,1010,4.47,100
Muscat,2025-05-27,23:00:27,31.47,overcast clouds,39,1000,1.58,93
London,2025-05-27,23:01:01,15.85,overcast clouds,87,1010,5.36,100
Los Angeles,2025-05-27,23:04:00,22.33,clear sky,63,1015,4.12,0
Riyadh,2025-05-27,23:04:31,34.46,clear sky,8,1004,1.82,5
Tokyo,2025-05-27,23:06:45,16.51,heavy intensity rain,87,1020,6.17,75
Dubai,2025-05-27,23:07:13,33.96,clear sky,43,1001,2.57,0
Paris,2025-05-27,23:10:07,18.99,clear sky,73,1019,6.69,0
Dubai,2025-05-28,00:00:42,33.96,clear sky,43,1001,2.57,0
Riyadh,2025-05-28,00:02:01,33.88,clear sky,9,1004,2.03,6
London,2025-05-28,00:02:08,15.68,overcast clouds,86,1011,6.69,100
Los Angeles,2025-05-28,00:02:23,23.17,clear sky,61,1014,5.66,0
Tokyo,2025-05-28,00:02:31,16.24,moderate rain,88,1021,4.12,75
Muscat,2025-05-28,00:06:08,30.72,overcast clouds,31,1000,1.12,99
Paris,2025-05-28,00:08:43,18.73,broken clouds,73,1019,5.66,75
Paris,2025-05-28,01:00:01,18.03,overcast clouds,76,1019,6.17,100
Riyadh,2025-05-28,01:00:02,33.1,clear sky,9,1004,2.95,5
London,2025-05-28,01:01:49,15.56,overcast clouds,88,1011,6.17,100
Los Angeles,2025-05-28,01:01:59,23.31,clear sky,59,1014,6.69,0
Muscat,2025-05-28,01:04:07,30.4,overcast clouds,30,999,1.39,94
Dubai,2025-05-28,01:06:58,32.96,clear sky,49,1000,3.6,0
Tokyo,2025-05-28,01:08:36,16.53,moderate rain,87,1021,5.66,75
Los Angeles,2025-05-28,02:01:17,22.44,clear sky,66,1013,5.66,0
Riyadh,2025-05-28,02:02:08,32.19,clear sky,9,1004,2.62,5
Dubai,2025-05-28,02:02:09,31.96,clear sky,48,1000,3.6,0
Tokyo,2025-05-28,02:03:32,17.51,broken clouds,79,1020,5.14,75
Paris,2025-05-28,02:03:32,17.37,broken clouds,78,1019,6.69,75
Muscat,2025-05-28,02:05:32,30.22,overcast clouds,27,999,1.75,90
London,2025-05-28,02:08:36,15.46,overcast clouds,89,1011,6.17,100
Riyadh,2025-05-28,03:00:05,31.03,clear sky,10,1005,1.64,5
London,2025-05-28,03:00:43,15.46,light rain,88,1011,6.17,75
Dubai,2025-05-28,03:04:08,29.96,clear sky,54,999,4.12,0
Los Angeles,2025-05-28,03:08:13,22.59,few clouds,62,1014,6.69,20
Paris,2025-05-28,03:08:14,16.96,light rain,79,1019,5.66,75
Tokyo,2025-05-28,03:09:23,17.97,broken clouds,77,1020,5.14,75
Muscat,2025-05-28,03:10:03,31.19,broken clouds,28,999,1.8,77
Los Angeles,2025-05-28,04:00:45,21.83,broken clouds,66,1013,6.69,75
Dubai,2025-05-28,04:01:40,29.96,clear sky,54,1000,4.12,0
